Forward Sortation Area ID,latitude (N),longitude(W)
M1B,48.56745,-54.843225
M1C,47.007347,-52.958921
M1E,47.36228,-53.293993
M1G,47.403988,-52.79987
M1H,48.086656,-52.894291
M1J,47.571957,-53.278126
M1K,47.637424,-52.926534
M1L,47.539527,-52.722751
M1M,47.520422,-53.248935
M1N,47.82983,-53.111276
M1P,47.953129,-53.043975
M1R,47.048323,-52.920575
M1S,47.058805,-52.890816
M1T,47.986081,-53.039611
M1V,46.85939,-52.970668
M1W,47.729423,-53.208935
M1X,47.417392,-53.143811
M2H,47.460334,-53.295967
M2J,47.571958,-53.278126
M2K,47.415885,-53.292081
M2L,47.427521,-53.225612
M2M,47.590404,-53.289775
M2N,47.526681,-53.259703
M2P,47.551287,-53.178617
M2R,47.536843,-52.853329
M3A,46.983293,-52.912336
M3B,47.022398,-52.889707
M3C,47.477232,-52.977807
M3H,47.452082,-52.754935
M3J,47.590405,-53.289775
M3K,47.709979,-53.204069
M3L,47.668324,-53.2372
M3M,47.405955,-53.156965
M3N,47.276512,-53.301822
M4A,47.385743,-53.139427
M4B,47.385744,-53.139427
M4C,47.385745,-53.139427
M4E,47.987686,-52.998181
M4G,47.497094,-52.952936
M4H,47.64484,-52.94659
M4J,47.998253,-52.980486
M4K,47.472142,-53.357665
M4L,47.513781,-52.933912
M4M,47.477427,-53.202806
M4N,47.247916,-52.988322
M4P,47.92916,-52.944143
M4R,46.862568,-53.165045
M4S,47.46489,-53.292879
M4T,47.904772,-53.078891
M4V,48.066189,-53.00389
M4W,47.476427,-52.707683
M4X,47.566615,-53.263418
M4Y,47.627104,-52.855348
M5A,47.761073,-52.760204
M5B,48.153534,-52.884409
M5C,46.83649,-52.95688
M5E,47.671835,-53.185727
M5G,46.632052,-53.59195
M5H,47.775937,-53.19596
M5J,47.460713,-53.08689
M5M,47.592808,-53.307293
M5N,47.535964,-53.209132
M5P,47.61295,-53.376104
M5R,47.523422,-52.884931
M5S,47.671934,-52.763185
M5T,47.201719,-53.006169
M5V,46.740762,-53.361706
M6A,47.485388,-53.024062
M6B,47.630737,-53.23018
M6C,47.739416,-53.229699
M6E,47.647748,-52.940673
M6G,47.883773,-53.084634
M6H,47.280092,-52.827119
M6J,47.388498,-53.169687
M6K,46.8625682,-53.1650446
M6L,47.760904,-53.983427
M6M,47.444165,-53.858057
M6N,47.608453,-53.722225
M6P,47.539992,-53.579991
M6R,47.444165,-53.858057
M6S,47.773265,-53.434804
M8V,47.383292,-53.300231
M8W,48.033106,-53.11346
M8X,47.715864,-53.493243
M8Y,47.668083,-53.826107
M8Z,47.507104,-53.649304
M9A,47.208716,-53.553497
M9B,47.934031,-54.16475
M9C,47.259931,-53.971383
M9L,47.487436,-53.565124
M9M,47.269821,-53.868512
M9N,47.532285,-53.892615
M9P,47.313282,-53.907811
M9R,47.263772,-53.981509
M9V,47.606497,-53.52866
M9W,48.007329,-53.245447
,47.829993,-53.348506
,47.779789,-53.46591
,47.444165,-53.858057
,47.822635,-53.453118
